funcion,variante,F,CR,repeticion,mejor_fitness
griewank,DE/best/1,0.9,0.5,5,0.004929872324173856
griewank,DE/best/1,0.9,0.5,6,0.002466168016010961
griewank,DE/best/1,0.9,0.5,7,0.014787156871403528
griewank,DE/best/1,0.9,0.5,8,0.04675157196335722
griewank,DE/best/1,0.9,0.5,9,0.0073911166054535515
griewank,DE/best/1,0.9,0.5,10,0.024617409962758408
griewank,DE/best/1,0.8,0.7,1,0.0762129386224013
griewank,DE/best/1,0.8,0.7,2,0.05412787293033594
griewank,DE/best/1,0.8,0.7,3,0.20658293596221555
griewank,DE/best/1,0.8,0.7,4,0.08855833283981907
griewank,DE/best/1,0.8,0.7,5,0.09834460162488079
griewank,DE/best/1,0.8,0.7,6,0.061506696925518134
griewank,DE/best/1,0.8,0.7,7,0.10581170466026735
griewank,DE/best/1,0.8,0.7,8,0.022170893088100052
griewank,DE/best/1,0.8,0.7,9,0.1033307764338196
griewank,DE/best/1,0.8,0.7,10,0.07129532987042475
griewank,DE/best/1,0.75,0.6,1,0.059018556322780746
griewank,DE/best/1,0.75,0.6,2,0.02461740996275852
griewank,DE/best/1,0.75,0.6,3,0.032035564973314834
griewank,DE/best/1,0.75,0.6,4,0.03194729182417577
griewank,DE/best/1,0.75,0.6,5,0.11561999710031512
griewank,DE/best/1,0.75,0.6,6,0.027068850485231888
griewank,DE/best/1,0.75,0.6,7,0.022170893088100052
griewank,DE/best/1,0.75,0.6,8,0.04185351986966923
griewank,DE/best/1,0.75,0.6,9,0.039350559673670626
griewank,DE/best/1,0.75,0.6,10,0.054098526752199616
griewank,DE/current-to-best/1,0.9,0.5,1,0.004975912598095489
griewank,DE/current-to-best/1,0.9,0.5,2,0.0024669103206977905
griewank,DE/current-to-best/1,0.9,0.5,3,0.002591976290261977
griewank,DE/current-to-best/1,0.9,0.5,4,0.002480516149822032
griewank,DE/current-to-best/1,0.9,0.5,5,0.0024733154308237415
griewank,DE/current-to-best/1,0.9,0.5,6,0.007402009225587647
griewank,DE/current-to-best/1,0.9,0.5,7,0.004955854276211924
griewank,DE/current-to-best/1,0.9,0.5,8,0.0024661685417961543
griewank,DE/current-to-best/1,0.9,0.5,9,0.002508726064599731
griewank,DE/current-to-best/1,0.9,0.5,10,0.00493141335412961
griewank,DE/current-to-best/1,0.8,0.7,1,0.11725373643448578
griewank,DE/current-to-best/1,0.8,0.7,2,0.06807007517544694
griewank,DE/current-to-best/1,0.8,0.7,3,0.20292665429808066
griewank,DE/current-to-best/1,0.8,0.7,4,0.11324344352039062
griewank,DE/current-to-best/1,0.8,0.7,5,0.15724424571813123
griewank,DE/current-to-best/1,0.8,0.7,6,0.108293633178707
griewank,DE/current-to-best/1,0.8,0.7,7,0.04792476349133101
griewank,DE/current-to-best/1,0.8,0.7,8,0.08852536110358888
griewank,DE/current-to-best/1,0.8,0.7,9,0.05702174098105661
griewank,DE/current-to-best/1,0.8,0.7,10,0.07908767023843466
griewank,DE/current-to-best/1,0.75,0.6,1,0.03253247581667684
griewank,DE/current-to-best/1,0.75,0.6,2,0.01937491021138671
griewank,DE/current-to-best/1,0.75,0.6,3,0.01732442114952304
griewank,DE/current-to-best/1,0.75,0.6,4,0.06936904877224981
griewank,DE/current-to-best/1,0.75,0.6,5,0.02077228178930346
griewank,DE/current-to-best/1,0.75,0.6,6,0.020838453527238232
griewank,DE/current-to-best/1,0.75,0.6,7,0.03175549892311036
griewank,DE/current-to-best/1,0.75,0.6,8,0.058146103572477736
griewank,DE/current-to-best/1,0.75,0.6,9,0.013019281859858345
griewank,DE/current-to-best/1,0.75,0.6,10,0.006577898229605306
rastrigin,DE/rand/1,0.9,0.5,1,0.0
rastrigin,DE/rand/1,0.9,0.5,2,0.0
rastrigin,DE/rand/1,0.9,0.5,3,0.0
rastrigin,DE/rand/1,0.9,0.5,4,0.0
rastrigin,DE/rand/1,0.9,0.5,5,0.0
rastrigin,DE/rand/1,0.9,0.5,6,0.0
rastrigin,DE/rand/1,0.9,0.5,7,0.0
rastrigin,DE/rand/1,0.9,0.5,8,0.0
rastrigin,DE/rand/1,0.9,0.5,9,0.0
rastrigin,DE/rand/1,0.9,0.5,10,0.0
rastrigin,DE/rand/1,0.8,0.7,1,0.0
rastrigin,DE/rand/1,0.8,0.7,2,0.0
rastrigin,DE/rand/1,0.8,0.7,3,0.0
rastrigin,DE/rand/1,0.8,0.7,4,0.0
rastrigin,DE/rand/1,0.8,0.7,5,0.0
rastrigin,DE/rand/1,0.8,0.7,6,0.0
rastrigin,DE/rand/1,0.8,0.7,7,0.0
rastrigin,DE/rand/1,0.8,0.7,8,0.0
rastrigin,DE/rand/1,0.8,0.7,9,0.0
rastrigin,DE/rand/1,0.8,0.7,10,0.0
rastrigin,DE/rand/1,0.75,0.6,1,0.0
rastrigin,DE/rand/1,0.75,0.6,2,0.0
rastrigin,DE/rand/1,0.75,0.6,3,0.0
rastrigin,DE/rand/1,0.75,0.6,4,0.0
rastrigin,DE/rand/1,0.75,0.6,5,0.0
rastrigin,DE/rand/1,0.75,0.6,6,0.0
rastrigin,DE/rand/1,0.75,0.6,7,0.0
rastrigin,DE/rand/1,0.75,0.6,8,0.0
rastrigin,DE/rand/1,0.75,0.6,9,0.0
rastrigin,DE/rand/1,0.75,0.6,10,0.0
rastrigin,DE/rand/2,0.9,0.5,1,0.0
rastrigin,DE/rand/2,0.9,0.5,2,0.0
rastrigin,DE/rand/2,0.9,0.5,3,0.0
rastrigin,DE/rand/2,0.9,0.5,4,0.0
rastrigin,DE/rand/2,0.9,0.5,5,0.0
rastrigin,DE/rand/2,0.9,0.5,6,0.0
rastrigin,DE/rand/2,0.9,0.5,7,0.0
rastrigin,DE/rand/2,0.9,0.5,8,0.0
rastrigin,DE/rand/2,0.9,0.5,9,0.0
rastrigin,DE/rand/2,0.9,0.5,10,0.0
rastrigin,DE/rand/2,0.8,0.7,1,15.710908083354454
rastrigin,DE/rand/2,0.8,0.7,2,15.905758545285863
rastrigin,DE/rand/2,0.8,0.7,3,21.54835756872501
rastrigin,DE/rand/2,0.8,0.7,4,18.696719092525143
rastrigin,DE/rand/2,0.8,0.7,5,15.374587434425848
rastrigin,DE/rand/2,0.8,0.7,6,17.113206752542723
rastrigin,DE/rand/2,0.8,0.7,7,16.72068465646781
rastrigin,DE/rand/2,0.8,0.7,8,14.864379157011186
rastrigin,DE/rand/2,0.8,0.7,9,10.923328848851284
rastrigin,DE/rand/2,0.8,0.7,10,14.073144356439471
rastrigin,DE/rand/2,0.75,0.6,1,9.703722841994818
rastrigin,DE/rand/2,0.75,0.6,2,10.67125404089822
rastrigin,DE/rand/2,0.75,0.6,3,8.40384538291066
rastrigin,DE/rand/2,0.75,0.6,4,12.453064728369554
rastrigin,DE/rand/2,0.75,0.6,5,9.1201705978781
rastrigin,DE/rand/2,0.75,0.6,6,9.616703452094796
rastrigin,DE/rand/2,0.75,0.6,7,11.526386534606743
rastrigin,DE/rand/2,0.75,0.6,8,10.511802741165454
rastrigin,DE/rand/2,0.75,0.6,9,10.816842700530785
rastrigin,DE/rand/2,0.75,0.6,10,8.301419080174384
rastrigin,DE/best/1,0.9,0.5,1,0.0
rastrigin,DE/best/1,0.9,0.5,2,0.0
rastrigin,DE/best/1,0.9,0.5,3,0.0
rastrigin,DE/best/1,0.9,0.5,4,0.0
rastrigin,DE/best/1,0.9,0.5,5,0.0
rastrigin,DE/best/1,0.9,0.5,6,0.9949590570932969
rastrigin,DE/best/1,0.9,0.5,7,0.0
rastrigin,DE/best/1,0.9,0.5,8,0.0
rastrigin,DE/best/1,0.9,0.5,9,0.0
